site_no,avg,max,min,timestamp
01446995,4.715,4.79,4.63,1630382400
01446995,4.885,4.93,4.82,1630386000
01446995,4.965,4.99,4.94,1630389600
01446995,4.9925,5,4.98,1630393200
01446995,5.0075,5.02,5,1630396800
01446995,5.02,5.04,5,1630400400
01446995,5.02,5.03,5,1630404000
01446995,5.02,5.04,4.99,1630407600
01446995,5.015,5.02,5,1630411200
01446995,5.0175,5.03,5.01,1630414800
01446995,4.995,5.01,4.98,1630418400
01446995,4.9775,4.99,4.96,1630422000
01446995,4.9575,4.97,4.95,1630425600
01446995,4.965,4.97,4.96,1630429200
01446995,4.955,4.96,4.95,1630432800
01446995,4.9350000000000005,4.95,4.91,1630436400
01446995,4.9225,4.95,4.91,1630440000
01446995,4.9275,4.93,4.92,1630443600
01446995,4.9175,4.92,4.91,1630447200
01446995,4.905,4.91,4.9,1630450800
01446995,4.8925,4.91,4.87,1630454400
01446995,4.922499999999999,4.93,4.91,1630458000
01446995,4.99,5.01,4.97,1630461600
01446995,5.065,5.08,5.04,1630465200
01446995,5.125,5.15,5.1,1630468800
01446995,5.1850000000000005,5.19,5.17,1630472400
01446995,5.2275,5.24,5.22,1630476000
01446995,5.245,5.25,5.24,1630479600
01446995,5.2725,5.28,5.26,1630483200
01446995,5.305,5.31,5.29,1630486800
01446995,5.3525,5.36,5.35,1630490400
01446995,5.39,5.41,5.37,1630494000
01446995,5.407500000000001,5.42,5.4,1630497600
01446995,5.495,5.5,5.49,1630501200
01446995,5.51,5.53,5.49,1630504800
01446995,5.5375,5.56,5.52,1630508400
01446995,5.54,5.55,5.53,1630512000
01446995,5.5325,5.55,5.51,1630515600
01446995,5.525,5.54,5.51,1630519200
01446995,5.5525,5.57,5.54,1630522800
01446995,5.6274999999999995,5.68,5.57,1630526400
01446995,5.95,6.16,5.76,1630530000
01446995,6.725,7.17,6.36,1630533600
01446995,7.965,8.45,7.5,1630537200
01446995,9.5325,10.19,8.88,1630540800
01446995,11.205,11.83,10.6,1630544400
01446995,12.825,13.46,12.2,1630548000
01446995,14.485,15.08,13.88,1630551600
01446995,15.9825,16.49,15.47,1630555200
01446995,17.2925,17.75,16.83,1630558800
01446995,18.38,18.75,18.02,1630562400
01446995,19.28,19.58,18.97,1630566000
01446995,20.0975,20.41,19.8,1630569600
01446995,20.942500000000003,21.26,20.63,1630573200
01446995,21.759999999999998,22.06,21.46,1630576800
01446995,22.517500000000002,22.8,22.23,1630580400
01446995,23.285,23.59,23,1630584000
01446995,23.9625,24.22,23.69,1630587600
01446995,24.5925,24.81,24.35,1630591200
01446995,25.067500000000003,25.26,24.92,1630594800
01446995,25.4175,25.55,25.27,1630598400
01446995,25.6375,25.69,25.59,1630602000
01446995,25.685000000000002,25.73,25.64,1630605600
01446995,25.58,25.65,25.5,1630609200
01446995,25.34,25.45,25.15,1630612800
01446995,25.02,25.18,24.86,1630616400
01446995,24.697499999999998,24.79,24.6,1630620000
01446995,24.2775,24.4,24.12,1630623600
01446995,23.81,23.99,23.65,1630627200
01446995,23.3325,23.53,23.17,1630630800
01446995,22.7975,22.98,22.6,1630634400
01446995,22.240000000000002,22.46,22.06,1630638000
01446995,21.71,21.89,21.5,1630641600
01446995,21.105,21.34,20.92,1630645200
01446995,20.5875,20.79,20.38,1630648800
01446995,20.0075,20.19,19.79,1630652400
01446995,19.4875,19.68,19.3,1630656000
01446995,18.9525,19.14,18.79,1630659600
01446995,18.5075,18.66,18.37,1630663200
01446995,18.0425,18.25,17.87,1630666800
01446995,17.590000000000003,17.76,17.42,1630670400
01446995,17.18,17.32,17.04,1630674000
01446995,16.8475,16.99,16.72,1630677600
01446995,16.61,16.72,16.51,1630681200
01446995,16.3275,16.43,16.23,1630684800
01446995,16.08,16.18,15.98,1630688400
01446995,15.755,15.9,15.6,1630692000
01446995,15.432500000000001,15.52,15.33,1630695600
01446995,15.115,15.24,14.99,1630699200
01446995,14.8325,14.94,14.74,1630702800
01446995,14.585,14.7,14.49,1630706400
01446995,14.3375,14.42,14.25,1630710000
01446995,14.105,14.18,14.02,1630713600
01446995,13.8525,13.93,13.77,1630717200
01446995,13.6075,13.7,13.52,1630720800
01446995,13.4025,13.5,13.3,1630724400
01446995,13.195,13.28,13.12,1630728000
01446995,12.9825,13.06,12.92,1630731600
01446995,12.7875,12.87,12.71,1630735200
01446995,12.6075,12.65,12.52,1630738800
01446995,12.415,12.49,12.34,1630742400
01446995,12.2325,12.29,12.19,1630746000
01446995,12.065000000000001,12.13,12,1630749600
01446995,11.905,11.95,11.84,1630753200
01446995,11.8025,11.84,11.78,1630756800
01446995,11.7625,11.79,11.73,1630760400
01446995,11.745000000000001,11.75,11.73,1630764000
01446995,11.6775,11.7,11.65,1630767600
01446995,11.595,11.64,11.56,1630771200
01446995,11.5075,11.54,11.48,1630774800
01446995,11.3925,11.43,11.35,1630778400
01446995,11.28,11.32,11.25,1630782000
01446995,11.16,11.22,11.13,1630785600
01446995,11.065,11.1,11.03,1630789200
01446995,10.9625,10.98,10.94,1630792800
